company,rank,rank_change,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
Otis Worldwide,254,-18,14298,1246,70000,Industrials,Farmington,CT,no,no,yes,yes,236,Judith F. Marks,https://www.otis.com,OTIS,32700.9
Omnicom Group,255,-26,14289.4,1407.8,71700,Business Services,New York,NY,no,no,no,yes,229,John D. Wren,https://www.omnicomgroup.com,OMC,17565.7
Principal Financial,256,-50,14262.7,1710.6,18600,Financials,Des Moines,IA,no,no,no,yes,206,Daniel J. Houston,https://www.principal.com,PFG,19176.7
Dominion Energy,257,-64,14218,3288,17100,Energy,Richmond,VA,no,no,no,yes,193,Robert M. Blue,https://www.dominionenergy.com,D,68883
Kellogg,258,-36,14181,1488,31000,"Food, Beverages & Tobacco",Battle Creek,MI,no,no,no,yes,222,Steven A. Cahillane,https://www.kelloggcompany.com,K,21890.2
Fluor,259,-63,14156.8,-440.2,40582,Engineering & Construction,Irving,TX,no,no,no,no,196,David E. Constable,https://www.fluor.com,FLR,4051.7
AECOM,260,-71,14112.4,173.2,51000,Engineering & Construction,Dallas,TX,no,no,no,yes,189,W. Troy Rudd,https://www.aecom.com,ACM,10856.5
Reliance Steel & Aluminum,261,82,14093.3,1413,13950,Materials,Los Angeles,CA,no,no,no,yes,343,James D. Hoffman,https://www.rsac.com,RS,11313.5
Jacobs Engineering Group,262,-37,14092.6,477,53500,Engineering & Construction,Dallas,TX,no,no,no,yes,225,Steven J. Demetriou,https://www.jacobs.com,J,17807.4
Corning,263,14,14082,1906,61200,Industrials,Corning,NY,no,no,no,yes,277,Wendell P. Weeks,https://www.corning.com,GLW,31212.8
Farmers Insurance Exchange,264,-8,14055,-366.8,11787,Financials,Woodland Hills,CA,no,no,no,no,256,Jeffrey J. Dailey,https://www.farmers.com,,
Qurate Retail,265,-49,14044,340,26745,Retailing,Englewood,CO,no,no,no,yes,216,David L. Rawlinson II,https://www.qurateretail.com,QRTEA,1807.4
Pacific Life,266,37,13936,1102,3861,Financials,Newport Beach,CA,no,no,no,yes,303,Darryl Button,https://www.pacificlife.com,,
PulteGroup,267,17,13926.9,1946.3,6182,Engineering & Construction,Atlanta,GA,no,no,no,yes,284,Ryan R. Marshall,https://www.pultegroupinc.com,PHM,10115.7
Fidelity National Information Services,268,-27,13877,417,65000,Business Services,Jacksonville,FL,no,no,no,yes,241,Gary A. Norcross,https://www.fisglobal.com,FIS,61215.1
IQVIA Holdings,269,6,13874,966,79000,Health Care,Durham,NC,no,no,no,yes,275,Ari Bousbib,https://www.iqvia.com,IQV,44140.8
Marriott International,270,23,13857,1099,120000,"Hotels, Restaurants & Leisure",Bethesda,MD,no,no,no,yes,293,Anthony G. Capuano,https://www.marriott.com,MAR,57514.9
Berry Global Group,271,-10,13850,733,47000,Materials,Evansville,IN,no,no,no,yes,261,Thomas E. Salmon,https://www.berryglobal.com,BERY,7832.4
Ball,272,-12,13811,878,24300,Materials,Westminster,CO,no,no,no,yes,260,Daniel W. Fisher,https://www.ball.com,BLL,28909.1
Group 1 Automotive,273,13,13801.7,552.1,13711,Retailing,Houston,TX,no,no,no,yes,286,Earl J. Hesterberg,https://www.group1auto.com,GPI,2859.9
Leidos Holdings,274,-26,13737,753,43000,Technology,Reston,VA,no,no,no,yes,248,Roger A. Krone,https://www.leidos.com,LDOS,14727.7
Wayfair,275,-58,13708,-131,16681,Retailing,Boston,MA,no,yes,no,no,217,Niraj S. Shah,https://www.wayfair.com,W,11641.6
Consolidated Edison,276,-27,13676,1346,13871,Energy,New York,NY,no,no,no,yes,249,Timothy P. Cawley,https://www.conedison.com,ED,33525.3
Ameriprise Financial,277,-24,13443,2760,12000,Financials,Minneapolis,MN,no,no,no,yes,253,James M. Cracchiolo,https://www.ameriprise.com,AMP,33213
Xcel Energy,278,-6,13431,1597,11321,Energy,Minneapolis,MN,no,no,no,yes,272,Robert C. Frenzel,https://www.xcelenergy.com,XEL,39275.9
O'Reilly Automotive,279,-11,13327.6,2164.7,76158,Retailing,Springfield,MO,no,no,no,yes,268,Gregory D. Johnson,https://www.oreillyauto.com,ORLY,45410.4
Global Partners,280,81,13248.3,60.8,2960,Wholesalers,Waltham,MA,no,no,no,yes,361,Eric Slifka,https://www.globalp.com,GLP,927.1
Discover Financial Services,281,-48,13221,5449,16700,Financials,Riverwoods,IL,no,no,no,yes,233,Roger C. Hochschild,https://www.discover.com,DFS,31076.7
Rocket Companies,282,-88,13175.6,308.2,26000,Financials,Detroit,MI,no,no,no,yes,194,Jay D. Farner,https://www.rocketcompanies.com,RKT,21905.9
LKQ,283,-17,13088.5,1090.9,46000,Wholesalers,Chicago,IL,no,no,no,yes,266,Dominick P. Zarcone,https://www.lkqcorp.com,LKQ,12941.4
W.W. Grainger,284,-26,13022,1043,23450,Wholesalers,Lake Forest,IL,no,no,no,yes,258,D.G. Macpherson,https://www.grainger.com,GWW,26358
Quanta Services,285,-7,12980.2,486,43700,Engineering & Construction,Houston,TX,no,no,no,yes,278,Earl C. Austin Jr.,https://www.quantaservices.com,PWR,18779.5
Crown Holdings,286,-17,12979,-560,26000,Materials,Yardley,PA,no,no,no,no,269,Timothy J. Donahue,https://www.crowncork.com,CCK,15460.6
Fox,287,-40,12909,2150,9000,Media,New York,NY,no,no,no,yes,247,Lachlan K. Murdoch,https://www.foxcorporation.com,FOXA,21423.2
Sempra,288,-33,12857,1317,15390,Energy,San Diego,CA,no,no,no,yes,255,Jeffrey W. Martin,https://www.sempra.com,SRE,53087.6
Markel,289,22,12846.4,2425,20300,Financials,Glen Allen,VA,no,no,no,yes,311,Thomas S. Gayner/Richard R. Whitt III,https://www.markel.com,MKL,20037.5
Carvana,290,193,12814,-135,21000,Retailing,Tempe,AZ,no,yes,no,no,483,Ernest C. Garcia III,https://www.carvana.com,CVNA,19549.5
XPO Logistics,291,-101,12806,336,44700,Transportation,Greenwich,CT,no,no,no,yes,190,Brad Jacobs,https://www.xpo.com,XPO,8356.9
Baxter International,292,-28,12784,1284,60000,Health Care,Deerfield,IL,no,no,no,yes,264,José E. Almeida,https://www.baxter.com,BAX,39017.9
Ecolab,293,-56,12733.1,1129.9,47000,Chemicals,St. Paul,MN,no,no,no,yes,237,Christophe Beck,https://www.ecolab.com,ECL,50548.4
Tractor Supply,294,-3,12731.1,997.1,34000,Retailing,Brentwood,TN,no,no,no,yes,291,Harry A. Lawton III,https://www.tractorsupply.com,TSCO,26171.6
Andersons,295,71,12728.8,104,2334,"Food, Beverages & Tobacco",Maumee,OH,no,no,no,yes,366,Patrick Bowe,https://andersonsinc.com,ANDE,1151
Keurig Dr Pepper,296,-29,12683,2146,27500,"Food, Beverages & Tobacco",Burlington,MA,no,no,no,yes,267,Ozan Dokmecioglu,https://www.keurigdrpepper.com,KDP,53748.2
Universal Health Services,297,-27,12642.1,991.6,78850,Health Care,King of Prussia,PA,no,no,no,yes,270,Marc D. Miller,https://www.uhsinc.com,UHS,10843.1
CSX,298,-6,12522,3781,20919,Transportation,Jacksonville,FL,no,no,no,yes,292,Joseph R. Hinrichs,https://www.csx.com,CSX,81587.8
Henry Schein,299,-1,12401,631.2,21600,Health Care,Melville,NY,no,no,no,yes,298,Stanley Bergman,https://www.henryschein.com,HSIC,8952
Sonic Automotive,300,8,12396.4,348.9,10200,Retailing,Charlotte,NC,no,no,no,yes,308,David Bruton Smith,https://www.sonicautomotive.com,SAH,1728.8
eBay,301,-25,12394,13608,10800,Technology,San Jose,CA,no,no,no,yes,276,Jamie Iannone,https://www.ebay.com,EBAY,33641.9
Textron,302,-37,12382,746,33000,Aerospace & Defense,Providence,RI,no,no,no,yes,265,Scott C. Donnelly,https://www.textron.com,TXT,16090.6
Jones Financial (Edward Jones),303,-8,12373,1605,50000,Financials,Des Peres,MO,no,no,yes,yes,295,Penny Pennington,https://www.edwardjones.com,,-
Community Health Systems,304,-45,12368,230,58500,Health Care,Franklin,TN,no,no,no,yes,259,Tim L. Hingtgen,https://www.chs.net,CYH,1598.6
Mosaic,305,41,12357.4,1630.6,12525,Chemicals,Tampa,FL,no,no,no,yes,346,James C. O&#039;Rourke,https://www.mosaicco.com,MOS,24492.6
Thor Industries,306,62,12317.4,659.9,31000,Motor Vehicles & Parts,Elkhart,IN,no,no,no,yes,368,Robert Martin,https://www.thorindustries.com,THO,4273
Dick's Sporting Goods,307,13,12293.4,1519.9,34300,Retailing,Coraopolis,PA,no,no,yes,yes,320,Lauren R. Hobart,https://www.dickssportinggoods.com,DKS,7986.6
Newmont,308,-35,12222,1166,14400,Energy,Denver,CO,no,no,no,yes,273,Thomas R. Palmer,https://www.newmont.com,NEM,62968.1
Devon Energy,309,0,12206,2813,1600,Energy,Oklahoma City,OK,yes,no,no,yes,,Richard E. Muncrief,https://www.devonenergy.com,DVN,39274.1
Warner Bros. Discovery,310,-20,12191,1006,11000,Media,New York,NY,no,no,no,yes,290,David M. Zaslav,https://https://wbd.com,WBD,12700.5
J.B. Hunt Transport Services,311,4,12168.3,760.8,33045,Transportation,Lowell,AR,no,no,no,yes,315,John N. Roberts III,https://www.jbhunt.com,JBHT,21052.9
Alcoa,312,18,12152,429,12200,Materials,Pittsburgh,PA,no,no,no,yes,330,Roy C. Harvey,https://www.alcoa.com,AA,16603.4
Peter Kiewit Sons',313,-70,12149,753,28800,Engineering & Construction,Omaha,NE,no,no,no,yes,243,Rick Lanoha,https://www.kiewit.com,,
Aramark,314,-79,12096,-90.8,248300,Business Services,Philadelphia,PA,no,no,no,no,235,John J. Zillmer,https://www.aramark.com,ARMK,9655.5
Vistra,315,-41,12077,-1274,5060,Energy,Irving,TX,no,no,no,no,274,James A. Burke,https://www.vistracorp.com,VST,10434.7
State Street,316,-64,12030,2693,38784,Financials,Boston,MA,no,no,no,yes,252,Ronald P. O&#039;Hanley,https://www.statestreet.com,STT,31891.8
Unum Group,317,-87,12013.8,824.2,10200,Financials,Chattanooga,TN,no,no,no,yes,230,Richard P. McKenney,https://www.unum.com,UNM,6382.8
Alleghany,318,21,12004.1,1034.9,13313,Financials,New York,NY,no,no,no,yes,339,Joseph P. Brandon,https://www.alleghany.com,Y,11396.1
Boston Scientific,319,-14,11888,1041,41000,Health Care,Marlborough,MA,no,no,no,yes,305,Michael F. Mahoney,https://www.bostonscientific.com,BSX,63310.2
Westlake,320,68,11778,2015,14550,Chemicals,Houston,TX,no,no,no,yes,388,Albert Yuan Chao,https://www.westlake.com,WLK,15785.4
Entergy,321,-21,11742.9,1118.5,12369,Energy,New Orleans,LA,no,no,no,yes,300,Andrew S. Marsh,https://www.entergy.com,ETR,23760.4
International Flavors & Fragrances,322,0,11656,270,24000,Chemicals,New York,NY,yes,no,no,yes,,Franklin K. Clyburn Jr.,https://www.iff.com,IFF,33455.6
DaVita,323,-52,11618.8,978.5,69000,Health Care,Denver,CO,no,no,no,yes,271,Javier J. Rodriguez,https://www.davita.com,DVA,10892.5
Mutual of Omaha Insurance,324,-42,11459.3,579,5739,Financials,Omaha,NE,no,no,no,yes,282,James T. Blackledge,https://www.mutualofomaha.com,,
Assurant,325,-23,11410,1372.4,15600,Financials,New York,NY,no,no,no,yes,302,Keith W. Demmings,https://www.assurant.com,AIZ,10493.1
Liberty Media,326,0,11400,398,6886,Media,Englewood,CO,no,no,no,yes,326,Gregory B. Maffei,https://www.libertymedia.com,LSXMA,15239.1
Hormel Foods,327,-10,11386.2,908.8,20000,"Food, Beverages & Tobacco",Austin,MN,no,no,no,yes,317,James P. Snee,https://www.hormelfoods.com,HRL,28089.2
Icahn Enterprises,328,125,11328,-518,19536,Financials,Sunny Isles Beach,FL,no,no,no,no,453,David Willetts,https://www.ielp.com,IEP,15237.1
Republic Services,329,-32,11295,1290.4,35000,Business Services,Phoenix,AZ,no,no,no,yes,297,Jon Vander Ark,https://www.republicservices.com,RSG,41841.7
Mohawk Industries,330,-9,11200.6,1033.2,43000,Household Products,Calhoun,GA,no,no,no,yes,321,Jeffrey S. Lorberbaum,https://www.mohawkind.com,MHK,8081.8
Conagra Brands,331,-48,11184.7,1298.8,18600,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,283,Sean M. Connolly,https://www.conagrabrands.com,CAG,16103.5
Norfolk Southern,332,-25,11142,3005,18100,Transportation,Atlanta,GA,no,no,no,yes,307,Alan H. Shaw,https://www.norfolksouthern.com,NSC,68389.3
AES,333,-20,11141,-409,8450,Energy,Arlington,VA,no,no,no,no,313,Andrés R. Gluski,https://www.aes.com,AES,17172.1
AGCO,334,-3,11138.3,897,23300,Industrials,Duluth,GA,no,no,no,yes,331,Eric P. Hansotia,https://www.agcocorp.com,AGCO,10885.3
Caesars Entertainment,335,0,11110,-1019,49000,"Hotels, Restaurants & Leisure",Reno,NV,yes,no,no,no,,Thomas R. Reeg,https://www.caesars.com,CZR,16564.6
Equitable Holdings,336,-92,11036,-439,10000,Financials,New York,NY,no,no,no,no,244,Mark Pearson,https://www.equitableholdings.com,EQH,12041.2
Advance Auto Parts,337,-36,10998,616.1,54500,Retailing,Raleigh,NC,no,no,no,yes,301,Thomas R. Greco,https://www.advanceautoparts.com,AAP,12644.8
Biogen,338,-110,10981.7,1556.1,9610,Health Care,Cambridge,MA,no,no,no,yes,228,Michel Vounatsos,https://www.biogen.com,BIIB,30950.4
Auto-Owners Insurance,339,2,10980.2,1318.4,6441,Financials,Lansing,MI,no,no,no,yes,341,Jeffrey S. Tagsold,https://www.auto-owners.com,,
Booking Holdings,340,84,10958,1165,20199,Technology,Norwalk,CT,no,no,no,yes,424,Glenn D. Fogel,https://www.bookingholdings.com,BKNG,96022.7
Amphenol,341,8,10876.3,1590.8,90000,Technology,Wallingford,CT,no,no,no,yes,349,R. Adam Norwitt,https://www.amphenol.com,APH,45130.1
Quest Diagnostics,342,-18,10788,1995,44500,Health Care,Secaucus,NJ,no,no,no,yes,324,James E. Davis,https://www.questdiagnostics.com,DGX,16348.6
FirstEnergy,343,-49,10758,1283,12395,Energy,Akron,OH,no,no,no,yes,294,John W. Somerhalder II,https://www.firstenergycorp.com,FE,26181.6
DCP Midstream,344,98,10707,391,1788,Energy,Denver,CO,no,no,no,yes,442,Wouter T. van Kempen,https://www.dcpmidstream.com,DCP,6993.2
Ally Financial,345,-58,10690,3060,10500,Financials,Detroit,MI,no,no,no,yes,287,Jeffrey J. Brown,https://www.ally.com,ALLY,14411.6
Delek US Holdings,346,51,10648.2,-203.5,3312,Energy,Brentwood,TN,no,no,no,no,397,Avigal Soreq,https://www.delekus.com,DK,1500.2
Williams,347,32,10627,1517,4783,Energy,Tulsa,OK,no,no,no,yes,379,Alan S. Armstrong,https://www.williams.com,WMB,40670.4
Newell Brands,348,-23,10589,572,32000,Household Products,Atlanta,GA,no,no,no,yes,325,Ravichandra K. Saligram,https://www.newellbrands.com,NWL,8902.4
Eastman Chemical,349,6,10476,857,14000,Chemicals,Kingsport,TN,no,no,no,yes,355,Mark J. Costa,https://www.eastman.com,EMN,14450.1
Air Products & Chemicals,350,-10,10323,2099.1,20750,Chemicals,Allentown,PA,no,no,no,yes,340,Seifi Ghasemi,https://www.airproducts.com,APD,55409.4
Thrivent Financial for Lutherans,351,18,10312.7,2530.2,3256,Financials,Minneapolis,MN,no,no,yes,yes,369,Teresa J. Rasmussen,https://www.thrivent.com,,
Molson Coors Beverage,352,-38,10279.7,1005.7,16300,"Food, Beverages & Tobacco",Chicago,IL,no,no,no,yes,314,Gavin D.K. Hattersley,https://www.molsoncoors.com,TAP,11631.8
Interpublic Group,353,-19,10240.7,952.8,55600,Business Services,New York,NY,no,no,no,yes,334,Daryl Lee,https://www.interpublic.com,IPG,13965.9
Weyerhaeuser,354,33,10201,2607,9214,Materials,Seattle,WA,no,no,no,yes,387,Devin W. Stockfish,https://www.weyerhaeuser.com,WY,28315
Altice USA,355,-49,10090.8,990.3,9000,Telecommunications,Long Island City,NY,no,no,no,yes,306,Dennis Mathew,https://www.alticeusa.com,ATUS,5674.1
Raymond James Financial,356,11,9910,1403,15000,Financials,St. Petersburg,FL,no,no,no,yes,367,Paul C. Reilly,https://www.raymondjames.com,RJF,22817.5
EMCOR Group,357,-13,9903.6,383.5,34000,Engineering & Construction,Norwalk,CT,no,no,no,yes,344,Anthony J. Guzzi,https://www.emcorgroup.com,EME,5931.8
Eversource Energy,358,-20,9863.1,1220.5,9227,Energy,Springfield,MA,no,no,no,yes,338,Joseph R. Nolan Jr.,https://www.eversource.com,ES,30403.2
Yum China Holdings,359,4,9853,990,298500,"Hotels, Restaurants & Leisure",Plano,TX,no,no,yes,yes,363,Joey Wat,https://ir.yumchina.com,YUMC,17679
Asbury Automotive Group,360,45,9837.7,532.4,14200,Retailing,Duluth,GA,no,no,no,yes,405,David W. Hult,https://www.asburyauto.com,ABG,3714.8
Owens & Minor,361,-16,9785.3,221.6,17300,Health Care,Mechanicsville,VA,no,no,no,yes,345,Edward A. Pesicka,https://www.owens-minor.com,OMI,3375.6
Public Service Enterprise Group,362,-44,9722,-648,12684,Energy,Newark,NJ,no,no,no,no,318,Ralph A. LaRossa,https://www.pseg.com,PEG,35145.5
United Rentals,363,-11,9716,1386,20400,Business Services,Stamford,CT,no,no,no,yes,352,Matthew J. Flannery,https://www.unitedrentals.com,URI,25643.3
MGM Resorts International,364,0,9680.1,1254.4,60500,"Hotels, Restaurants & Leisure",Las Vegas,NV,yes,no,no,yes,,William J. Hornbuckle,https://www.mgmresorts.com,MGM,18257.9
Ryder System,365,-8,9663,519,42800,Transportation,Miami,FL,no,no,no,yes,357,Robert E. Sanchez,https://www.ryder.com,R,4055.4
Intuit,366,14,9633,2062,17350,Technology,Mountain View,CA,no,no,no,yes,380,Sasan K. Goodarzi,https://www.intuit.com,INTU,135987.6
Cincinnati Financial,367,19,9629.7,2945.6,5166,Financials,Fairfield,OH,no,no,no,yes,386,Steven J. Johnston,https://www.cinfin.com,CINF,21813.3
Erie Insurance Group,368,-21,9619.7,1130.1,5805,Financials,Erie,PA,no,no,no,yes,347,Timothy G. NeCastro,https://www.erieinsurance.com,,
Univar Solutions,369,-7,9535.5,460.6,9450,Wholesalers,Downers Grove,IL,no,no,no,yes,362,David C. Jukes,https://www.univarsolutions.com,UNVR,5459.8
Huntington Ingalls Industries,370,-43,9524,544,44000,Aerospace & Defense,Newport News,VA,no,no,no,yes,327,Christopher D. Kastner,https://www.huntingtoningalls.com,HII,7991
W.R. Berkley,371,1,9455.5,1022.5,7681,Financials,Greenwich,CT,no,no,no,yes,372,W. Robert Berkley Jr.,https://www.berkley.com,WRB,17658.8
Western & Southern Financial Group,372,2,9441.7,361.2,2538,Financials,Cincinnati,OH,no,no,no,yes,374,John F. Barrett,https://www.westernsouthern.com,,
Insight Enterprises,373,-13,9436.1,219.3,11624,Technology,Tempe,AZ,no,no,yes,yes,360,Joyce A. Mullen,https://www.insight.com,NSIT,3745.1
News Corp.,374,-37,9358,330,24000,Media,New York,NY,no,no,no,yes,337,Robert J. Thomson,https://www.newscorp.com,NWSA,13127.7
American Tower,375,0,9356.9,2567.7,6378,Financials,Boston,MA,no,no,no,yes,375,Thomas A. Bartlett,https://www.americantower.com,AMT,114527.4
Old Republic International,376,25,9341.6,1534.3,9600,Financials,Chicago,IL,no,no,no,yes,401,Craig R. Smiddy,https://www.oldrepublic.com,ORI,7972.8
Burlington Stores,377,94,9322.3,408.8,38599,Retailing,Burlington,NJ,no,no,no,yes,471,Michael B. O?Sullivan,https://www.burlingtoninvestors.com,BURL,12112.8
Avis Budget Group,378,120,9313,1285,18500,Retailing,Parsippany,NJ,no,no,no,yes,498,Joseph A. Ferraro,https://www.avisbudgetgroup.com,CAR,14157
ODP,379,-67,9267,-208,26000,Retailing,Boca Raton,FL,no,no,no,no,312,Gerry P. Smith,https://www.officedepot.com,ODP,2222.2
VF Corp.,380,-117,9238.8,407.9,33600,Apparel,Denver,CO,no,no,no,yes,263,Steven Rendle,https://www.vfc.com,VFC,11620
Bed Bath & Beyond,381,-101,9233,-150.8,37600,Retailing,Union,NJ,no,no,yes,no,280,Sue Gove,https://www.bedbathandbeyond.com,BBBY,2170.5
Seaboard,382,24,9229,570,13200,"Food, Beverages & Tobacco",Merriam,KS,no,no,no,yes,406,Robert L. Steer,https://www.seaboardcorp.com,SEB,4881.6
First American Financial,383,26,9221,1241,22233,Financials,Santa Ana,CA,no,no,no,yes,409,Kenneth D. DeGiorgio,https://www.firstam.com,FAF,7087.2
Intercontinental Exchange,384,-19,9168,4058,8858,Financials,Atlanta,GA,no,yes,no,yes,365,Jeffrey C. Sprecher,https://www.ice.com,ICE,74044.8
PVH,385,19,9154.7,952.3,25000,Apparel,New York,NY,no,no,no,yes,404,Stefan Larsson,https://www.pvh.com,PVH,5210
Apollo Global Management,386,0,9124,1838.5,2153,Financials,New York,NY,yes,yes,no,yes,,Marc Rowan,https://www.apollo.com,APO,37194
Jefferies Financial Group,387,32,9039.9,1674.4,5556,Financials,New York,NY,no,no,no,yes,419,Richard Handler,https://www.jefferies.com,JEF,7248
Hershey,388,-18,8971.3,1477.5,17805,"Food, Beverages & Tobacco",Hershey,PA,no,no,yes,yes,370,Michele G. Buck,https://www.thehersheycompany.com,HSY,44461.5
NVR,389,-6,8970.1,1236.7,6600,Engineering & Construction,Reston,VA,no,no,no,yes,383,Eugene J. Bredow,https://www.nvrinc.com,NVR,15010.5
Foot Locker,390,-5,8958,893,33244,Retailing,New York,NY,no,no,yes,yes,385,Mary N. Dillon,https://www.footlocker.com/corp,FL,2850
Dana,391,17,8945,197,40200,Motor Vehicles & Parts,Maumee,OH,no,no,no,yes,408,James K. Kamsickas,https://www.dana.com,DAN,2544.4
SpartanNash,392,-63,8931,73.8,13300,Wholesalers,Byron Center,MI,no,no,no,yes,329,Tony B. Sarsam,https://www.spartannash.com,SPTN,1185.1
Olin,393,79,8910.6,1296.7,7750,Chemicals,Clayton,MO,no,no,no,yes,472,Scott M. Sutton,https://www.olin.com,OLN,8062
Chewy,394,9,8890.8,-73.8,21300,Retailing,Dania Beach,FL,no,no,no,no,403,Sumit Singh,https://www.chewy.com,CHWY,17147.3
Jackson Financial,395,0,8848,3183,3150,Financials,Lansing,MI,yes,no,yes,yes,,Laura L. Prieskorn,https://www.jackson.com,JXN,3895.1
Activision Blizzard,396,-23,8803,2699,9800,Media,Santa Monica,CA,no,no,no,yes,373,Robert A. Kotick,https://www.activisionblizzard.com,ATVI,62559.7
Toll Brothers,397,14,8790.4,833.6,5100,Engineering & Construction,Fort Washington,PA,no,no,no,yes,411,Douglas C. Yearley Jr.,https://www.tollbrothers.com,TOL,5515.4
Carlyle Group,398,0,8782.1,2974.7,1850,Financials,Washington,DC,yes,no,no,yes,,William Conway Jr.,https://www.carlyle.com,CG,9539
Graybar Electric,399,0,8767.3,262.4,8800,Wholesalers,St. Louis,MO,no,no,yes,yes,399,Kathleen M. Mazzarella,https://www.graybar.com,,-
Ovintiv,400,58,8658,1416,1713,Energy,Denver,CO,no,no,no,yes,458,Brendan M. McCracken,https://www.ovintiv.com,OVV,13987.5
UFP Industries,401,0,8636.1,535.6,15000,Materials,Grand Rapids,MI,yes,no,no,yes,,Matthew Missad,https://www.ufpi.com,UFPI,4471
Ulta Beauty,402,49,8630.9,985.8,28500,Retailing,Bolingbrook,IL,no,no,no,yes,451,David C. Kimbell,https://www.ulta.com,ULTA,20837.8
Constellation Brands,403,-44,8614.9,1998,9300,"Food, Beverages & Tobacco",Victor,NY,no,no,no,yes,359,William A. Newlands,https://www.cbrands.com,STZ,43763.5
Expedia Group,404,0,8598,12,14800,Retailing,Seattle,WA,yes,no,no,yes,,Peter M. Kern,https://www.expediagroup.com,EXPE,30476.5
CommScope Holding,405,-49,8586.7,-462.6,30000,Technology,Hickory,NC,no,no,no,no,356,Charles L. Treadway,https://www.commscope.com,COMM,1629.7
Celanese,406,71,8537,1890,8529,Chemicals,Irving,TX,no,no,yes,yes,477,Lori J. Ryerkerk,https://www.celanese.com,CE,15434.1
Global Payments,407,-13,8523.8,965.5,25000,Business Services,Atlanta,GA,no,no,no,yes,394,Jeffrey S. Sloan,https://www.globalpayments.com,GPN,38545.6
Owens Corning,408,5,8498,995,20000,Materials,Toledo,OH,no,no,no,yes,413,Brian D. Chambers,https://www.owenscorning.com,OC,9064.7
Campbell Soup,409,-74,8476,1002,14100,"Food, Beverages & Tobacco",Camden,NJ,no,no,no,yes,335,Mark A. Clouse,https://www.campbellsoupcompany.com,CPB,13446.9
Huntsman,410,50,8453,1045,9000,Chemicals,The Woodlands,TX,no,no,no,yes,460,Peter R. Huntsman,https://www.huntsman.com,HUN,8046.9
Franklin Resources,411,73,8425.5,1831.2,10300,Financials,San Mateo,CA,no,no,yes,yes,484,Jennifer M. Johnson,https://www.franklinresources.com,BEN,14019.3
Avery Dennison,412,5,8408.3,740.1,36000,Materials,Glendale,CA,no,no,no,yes,417,Mitchell R. Butier,https://www.averydennison.com,AVY,14327.4
Masco,413,-15,8375,410,20000,Household Products,Livonia,MI,no,no,no,yes,398,Keith J. Allman,https://www.masco.com,MAS,12062.7
CenterPoint Energy,414,-72,8352,1486,9418,Energy,Houston,TX,no,no,no,yes,342,David J. Lesar,https://www.centerpointenergy.com,CNP,19285.8
Fifth Third Bancorp,415,-57,8329,2770,19112,Financials,Cincinnati,OH,no,no,no,yes,358,Timothy N. Spence,https://www.53.com,FITB,29511.3
WEC Energy Group,416,-16,8316,1300.3,6938,Energy,Milwaukee,WI,no,no,no,yes,400,Scott J. Lauber,https://www.wecenergygroup.com,WEC,31483.5
S&P Global,417,-24,8297,3024,22850,Business Services,New York,NY,no,no,no,yes,393,Douglas L. Peterson,https://www.spglobal.com,SPGI,142343.5
FM Global,418,5,8274.6,2842.4,5560,Financials,Johnston,RI,no,no,no,yes,423,Malcolm C. Roberts,https://www.fmglobal.com,,
Polaris,419,-12,8252,493.9,16000,Transportation,Medina,MN,no,no,no,yes,407,Michael T. Speetzen,https://www.polaris.com,PII,6264.1
Williams-Sonoma,420,5,8245.9,1126.3,16600,Retailing,San Francisco,CA,no,no,yes,yes,425,Laura J. Alber,https://www.williams-sonomainc.com,WSM,10376
Autoliv,421,-29,8230,435,58176,Motor Vehicles & Parts,Auburn Hills,MI,no,no,no,yes,392,Mikael Bratt,https://www.autoliv.com,ALV,6691.1
Arthur J. Gallagher,422,-6,8209.4,906.8,39000,Financials,Rolling Meadows,IL,no,no,no,yes,416,J. Patrick Gallagher Jr.,https://www.ajg.com,AJG,36598.6
Motorola Solutions,423,-28,8171,1245,18700,Technology,Chicago,IL,no,no,no,yes,395,Gregory Q. Brown,https://www.motorolasolutions.com,MSI,40555.9
Zillow Group,424,0,8147.4,-527.8,8005,Technology,Seattle,WA,yes,yes,no,no,,Richard N. Barton,https://www.zillowgroup.com,ZG,12287.1
Opendoor Technologies,425,0,8021,-662,2816,Technology,San Francisco,CA,yes,yes,no,no,,Eric Wu,https://www.opendoor.com,OPEN,5364.1
J.M. Smucker,426,-48,8002.7,876.3,7100,"Food, Beverages & Tobacco",Orrville,OH,no,no,no,yes,378,Mark T. Smucker,https://www.jmsmucker.com,SJM,14686.4
Anywhere Real Estate,427,18,7983,343,9748,Financials,Madison,NJ,no,no,no,yes,445,Ryan M. Schneider,https://www.realogy.com,HOUS,1852.1
Oshkosh,428,-6,7952.5,409.4,15000,Industrials,Oshkosh,WI,no,no,no,yes,422,John C. Pfeifer,https://www.oshkoshcorp.com,OSK,6703.7
MasTec,429,12,7951.8,328.8,27000,Engineering & Construction,Coral Gables,FL,no,no,no,yes,441,José R. Mas,https://www.mastec.com,MTZ,6657
GXO Logistics,430,0,7940,153,97500,Transportation,Greenwich,CT,yes,no,no,yes,,Malcolm Wilson,https://www.gxo.com,GXO,8193
